iter	Passed	Remaining
0	149	149205
1	150	75091
2	151	50373
3	152	37896
4	152	30435
5	153	25457
6	154	21914
7	155	19326
8	157	17300
9	158	15727
10	160	14394
11	160	13244
12	161	12278
13	162	11452
14	163	10740
15	164	10104
16	165	9549
17	166	9060
18	167	8623
19	167	8222
20	168	7857
21	169	7524
22	170	7222
23	170	6941
24	171	6683
25	172	6445
26	172	6223
27	173	6015
28	173	5821
29	174	5641
30	175	5471
31	175	5313
32	176	5163
33	176	5024
34	177	4893
35	178	4768
36	178	4650
37	179	4541
38	180	4436
39	180	4336
40	181	4241
41	182	4151
42	182	4065
43	183	3985
44	184	3905
45	184	3829
46	185	3755
47	185	3685
48	186	3619
49	187	3554
50	187	3491
51	188	3431
52	188	3373
53	189	3317
54	190	3266
55	190	3215
56	191	3165
57	191	3117
58	192	3070
59	193	3026
60	193	2982
61	194	2939
62	194	2898
63	195	2858
64	196	2820
65	196	2782
66	197	2748
67	197	2709
68	198	2675
69	198	2642
70	199	2610
71	200	2579
72	200	2549
73	201	2519
74	201	2490
75	202	2463
76	203	2435
77	203	2408
78	204	2382
79	204	2357
80	205	2331
81	206	2307
82	206	2286
83	207	2264
84	208	2239
85	208	2218
86	209	2195
87	209	2174
88	210	2153
89	211	2133
90	211	2116
91	212	2097
92	213	2078
93	213	2060
94	214	2041
95	214	2023
96	215	2006
97	216	1989
98	216	1972
99	217	1956
100	217	1939
101	218	1921
102	218	1905
103	219	1890
104	220	1875
105	220	1860
106	221	1845
107	221	1831
108	222	1818
109	223	1804
110	223	1790
111	224	1777
112	224	1765
113	225	1751
114	226	1740
115	226	1726
116	227	1715
117	227	1703
118	228	1690
119	228	1678
120	229	1667
121	230	1656
122	230	1643
123	231	1632
124	231	1621
125	232	1610
126	232	1600
127	233	1588
128	233	1578
129	234	1568
130	234	1558
131	235	1549
132	236	1539
133	236	1529
134	237	1520
135	237	1510
136	238	1501
137	238	1491
138	239	1483
139	240	1474
140	240	1468
141	241	1459
142	242	1451
143	242	1443
144	243	1434
145	243	1426
146	244	1418
147	245	1410
148	245	1403
149	246	1395
150	246	1387
151	247	1380
152	248	1373
153	248	1365
154	249	1358
155	249	1351
156	250	1344
157	251	1337
158	251	1330
159	252	1323
160	252	1317
161	253	1310
162	253	1303
163	254	1297
164	255	1291
165	255	1284
166	256	1278
167	256	1272
168	257	1267
169	258	1261
170	258	1255
171	259	1249
172	260	1243
173	260	1238
174	261	1232
175	262	1226
176	262	1220
177	263	1215
178	263	1210
179	264	1204
180	264	1197
181	265	1192
182	265	1186
183	266	1181
184	266	1176
185	267	1170
186	268	1165
187	268	1160
188	269	1156
189	270	1153
190	271	1149
191	272	1147
192	273	1142
193	273	1138
194	274	1133
195	275	1128
196	275	1124
197	276	1119
198	276	1114
199	277	1110
200	278	1105
201	278	1101
202	279	1096
203	279	1092
204	280	1087
205	281	1083
206	281	1078
207	282	1074
208	282	1070
209	283	1066
210	284	1062
211	284	1058
212	285	1054
213	286	1050
214	286	1046
215	287	1042
216	287	1038
217	288	1034
218	289	1030
219	289	1026
220	290	1023
221	290	1019
222	291	1015
223	292	1012
224	292	1008
225	293	1004
226	293	1000
227	294	997
228	295	993
229	295	989
230	296	986
231	296	982
232	297	979
233	298	975
234	298	972
235	299	969
236	300	966
237	300	962
238	301	959
239	302	956
240	302	953
241	303	949
242	303	946
243	304	943
244	305	939
245	305	936
246	306	933
247	306	930
248	307	926
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	904
256	311	901
257	312	898
258	313	895
259	313	892
260	314	890
261	314	887
262	315	884
263	316	881
264	316	878
265	317	875
266	318	873
267	318	870
268	319	867
269	319	864
270	320	861
271	320	858
272	321	855
273	322	853
274	322	850
275	323	847
276	323	845
277	324	842
278	325	839
279	325	837
280	326	834
281	326	832
282	327	830
283	328	827
284	329	825
285	329	823
286	330	820
287	331	818
288	332	816
289	332	814
290	333	812
291	333	809
292	334	807
293	335	805
294	335	802
295	336	800
296	337	797
297	337	795
298	338	793
299	338	790
300	339	788
301	340	785
302	340	783
303	341	781
304	341	779
305	342	777
306	343	775
307	344	773
308	344	770
309	345	768
310	345	766
311	346	764
312	347	762
313	347	760
314	348	758
315	349	756
316	349	754
317	350	751
318	351	749
319	351	747
320	352	745
321	353	743
322	353	741
323	354	739
324	354	736
325	355	734
326	356	732
327	356	731
328	357	729
329	358	728
330	359	726
331	360	725
332	361	723
333	361	721
334	362	720
335	363	718
336	364	717
337	365	715
338	366	714
339	367	712
340	368	711
341	368	709
342	369	708
343	370	706
344	371	704
345	371	702
346	372	700
347	373	699
348	373	697
349	374	695
350	374	693
351	375	691
352	376	689
353	376	687
354	377	685
355	377	683
356	378	681
357	378	679
358	379	677
359	380	675
360	380	673
361	381	672
362	382	670
363	382	668
364	383	666
365	383	664
366	384	662
367	385	661
368	385	659
369	386	657
370	386	655
371	387	654
372	387	652
373	388	650
374	389	648
375	389	646
376	390	645
377	390	643
378	391	641
379	391	639
380	392	637
381	393	636
382	393	634
383	394	632
384	395	631
385	395	629
386	396	627
387	396	625
388	397	624
389	398	622
390	398	620
391	399	619
392	400	618
393	401	617
394	402	616
395	402	614
396	403	613
397	404	611
398	404	609
399	405	608
400	406	606
401	406	604
402	407	603
403	407	601
404	408	600
405	409	598
406	409	597
407	410	595
408	411	594
409	411	592
410	412	590
411	412	589
412	413	588
413	414	586
414	415	585
415	415	583
416	416	582
417	416	580
418	417	578
419	418	577
420	418	575
421	419	574
422	420	572
423	420	571
424	421	569
425	421	568
426	422	566
427	422	565
428	423	563
429	424	562
430	424	560
431	425	559
432	425	557
433	426	556
434	427	554
435	427	553
436	428	552
437	429	551
438	430	549
439	430	548
440	431	546
441	432	545
442	432	543
443	433	542
444	433	540
445	434	539
446	434	538
447	435	536
448	436	535
449	436	533
450	437	532
451	437	530
452	438	529
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	444	517
462	444	515
463	445	514
464	445	513
465	446	511
466	447	510
467	447	509
